description,category,spec_pred
MO-09;Safety Belt,Automotive And Light Truck Maintenance And Repair,
อินดักเตอร์ Inductor WZXHFL 6.8uH CD105,"Inductors, Coils",
ค่าตรวจสุขภาพก่อนเข้าทำงาน น.ส.อิษฎา สูนสิทธิ์,Employee Physical Screening Service,
ค่าเดินทาง IN2025-01507,Other Business Travel Services,item 
ค่าตรวจสุขภาพพนักงานก่อนเริ่มงาน (นายพฤฒินันท์  ประสิทธิสรรหา),Employee Physical Screening Service,
โบว์ผ้ายืดสำเร็จ,Tassel Fringe,
นางสาวนวพร  แสนปุชุม,Other Fresh Vegetables,brand -|grade -|item -|model -|processing -|weight -
ค่ารือป้ายเติมพร้อมดำเนินการติดตั้งใหม่,Sign Installation And Maintenance Service,item 
"B68-(PK) เครื่อง Sewing NP-7A|- NEEDLE, DN-1#25 (NP-7A,NP-3I (40 ชิ้น) อะไหล่สำหรับเปลี่ยนให้เครื่อง Sewing NP-7A (Line บรรจุ) (Sup เจ้าของเครื่อง ใบเสนอราคาตรวจสอบโดย ผจก.โรงงาน)",Sewing Needles,
ตะกอนน้ำเสีย Manganese,Manganese Ore,
XLD MEDIUM,Chemical Auxiliary Agent,brand -|item -|model -|piece -|volume -
เครื่องวัดระยะเลเซอร์ 100 m.|สำหรับใช้วัดกองข้าวและงานด้านซ่อมบำรุง,Laser Distance Meters,
ห่วงไม้ด้ามจูงม่าน,"Curtain Poles, Tracks & Accessories",
"งานเปลี่ยน USB Hub 7 Port
อ้างอิง Report Onsite True Shop of March 2025",Usb Hubs,
(MP)Installtion Fingerprin BKK,Other Access Control Products,
"MA Shop,งานรื้อถอน ติดตั้งใหม่ @ True Branding Shop สาขา Siam Square Soi 2 (CM September 2025)
Quotation No. Q 680707

",Construction Services,item -
Overtemperature protector,Other Home Appliance Parts,
Refractometer S/N:517166 Range:10  30  50%BRIX,Refractometers,
(PK) รีโมตนำเสนองานไร้สาย,Conference Cameras,
104928626:Pooled Logistics Equipment (อุปกรณ์ในคลังสินค้า):ทำงานไม่เต็มประสิทธิภาพ,Warehouse Services,brand -|item -|period -
แผ่นสแตนเลสกั้นเครื่องเลื่อยเนื้อ-เลื่อยกระดูก 140*268cm,Stainless Steel Sheets,brand -|color -|item -|model -|size -|thickness -|type -
ค่าตรวจสุขภาพก่อนเข้าทำงานนายอัศดาวุธ น่วมใจดี,Employee Physical Screening Service,
อัตราบริการซ่อมแซมเครื่องจักร (ปกติ),Machinery Agents,
Handling cost,Freight Loading Or Unloading,
ตัด/เชื่อมระบบ,Other Welding Equipment,
Refractometer S/N:0528033 Range:0-30 Brix,Refractometers,
คำขอแก้ไขข้อมูลสถานที่ผลิต,Cost Accounting Service,
หวีวัดเกลียว INSIZE รุ่น 4820-452,Other Measuring & Gauging Tools,
ค่าตรวจสุขภาพก่อนเข้าทำงาน นายปริญญา รอดสอนดี Sales Executive,Employee Physical Screening Service,
นางสาวนฤชล กลิ่นจันทร์,Scented Potpourris,
"N68-(MG) งานป้องกันอุทกภัย|- เข็มขัดสาย 8"" (20 ตัว) อุปกรณ์งานไฟ สำหรับงานป้องกันอุทกภัยโรงงานปี 2568 (ใบเสนอราคาตรวจสอบโดย ผจก.โรงงาน)",Fall Protection,
"MTG
Site expense 
",Contracts,item -
ค่าขนย้ายมอเตอร์ ขึ้น/ลง ที่สูงมากกว่า 5 เมตร ด้ว|ค่าขนย้ายมอเตอร์ ขึ้น/ลง ที่สูงมากกว่า 5 เมตร ด้วยรอก กว้าน (ที่ผู้รับเหมา เป็นผู้ติดตั้งเอง  7.5-11 KW,Conveyance Systems Installation And Repair,"item บริการตัดรอก,กว้าน"
"ระดับน้ำตอร์ปิโด STANLEY รุ่น 42-264 9""",Levels,
1000070654;7600;Color Copy (Included Color Toner);;,Other Office Paper,
VOLT METER 22 MM.,Voltage Meters,
"MTG Repair Air Precision, Accessories ",Heating And Cooling And Air Conditioning Hvac Construction And Maintenance Services,"item mtgrepairairprecision,accessories"
1000065592;4400;1000065592;;ดินสอกด Rotring Tikky 0.5 มม. คละสี,Mechanical Pencils,
"RAPOO: 8000GT-BK, Wireless Keyboard & Mouse",Keyboard Mouse Combos,
CurrentTranformer CT MSQ-40 200/5A QUBIX,Current Sensors,
เตาอบไฟฟ้า SHARP#EO-9P 9 ลิตร,Countertop Ovens,
1000069877;7600;TF000315 ตลับเมตร PROMA 5M;;,Tape Measures,
Kingston RAM 16GB KVR32S22S8/16,Rams,
น้ำผึ้งแท้ ARO 100% 1000g.x 2,Honey,
Targus15-16นิ้วSport Backpackใส่แล็ปท็อป (TGS-TSB89104GL)  eRFX Request : 457428 Request ID 25007988  ,Other Business Bags & Cases,
ทัพพีใหญ่สแตนเลส  ตราจรวด (Big Ladle) (ด้ามสีดำ),Kitchen Knives,
7000888 แปรงลบกระดาน คละสี ตราม้า H-01,Blackboard Erasers,
"คีย์บอร์ดมีสาย,คีย์บอร์ดมีสาย",Computer Keypads,
4093610 เมาส์ไร้สาย แอนนิเทค W231 สีเทา,Mouse,
SP25004211:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
(TS)63962 CUFF BP NO.L ผ้าพันแขนวัดความดัน OMRON Ref.Q68060668,Pressure Monitors,
SP25001384:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
ที่กดน้ำดื่มไฟฟ้า USB Tefal 12000mAh,Portable Water Dispenser Pump,
40001827 ABS,Abs,
A007255 โต๊ะวางคอมพิวเตอร์ บีช เฟอร์ราเด,Other Office Furniture,
ขาตั้งเทียนแบบเหล็ก 9 cm. (1x1),"Wood Candle Holders, Lanterns, & Candle Jars",
ท๊อปสแตนเลส+บานหลอก,Furniture Hinges,
5007985 กระดาษโฟโต้กลอสซี่อิงค์เจ็ทA4 15,Other Office Paper,
4110055 แผ่นรองเมาส์ชนิดหมอนรองข้อมือ สี,Mouse Pads,
PM25022754:Escalators (บันไดเลื่อน):PM,Escalator Installation Or Maintenance Or Repair Service,item -
PM25022214:Escalators (บันไดเลื่อน):PM,Escalator Installation Or Maintenance Or Repair Service,item -
"SP25005210:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409245 Y2024 สายพานB-147 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
"SK_030005-BJDF2010 BUSHING,030005-BJDF2010 BUSHING",Sliding Bearings,
"SK_074403 Bushing [BJOFF2012] GT2,SK_074403 BUSHING [BJOFF2012] GT2",Bushings,
"DRAMAMINE,DRAMAMINE",Amine,
กล่องเก็บอุปกรณ์สำหรับ Cashier (นับตาม เครื่อง ใน SaleFloor),Kitchen Knives,
"LGTC00901_BALL CATCH,LGTC00901_BALL CATCH",Door Catches & Door Closers,
1011945 เทปลบ ทอมโบว CT-CA5C42(1x3),Correction Tape,
60374449 รองเท้าใส่ในบ้าน Beeline KASSA,Hotel Slippers,
"SP25002155:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409169 Y2024 สวิทช์ลูกลอยใช้ตัวต่อแทงค์น้ำ ""GENERAL"" 1 ชิ้น",Pressure Switches,
"SP25005493:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409169 Y2024 สวิทช์ลูกลอยใช้ตัวต่อแทงค์น้ำ ""GENERAL"" 1 ชิ้น",Pressure Switches,
ผ้าปูโต๊ะพลาสติก SAVEPAK 54x72,Disposable Table Covers,
SP25002093:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"SP25002641:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409227 Y2024 สายพานB-109 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
ค่าตรวจสุขภาพพนักงาน Miss PHOUY KEOMANIVONG,Employee Physical Screening Service,
"ค่าบริการขนส่งภายในเขตกรุงเทพและปริมณฑล (DHL) February 2025;  Invoice No. 2540000235, Ref. QUO.NO.202502-01",Road Freight,item -
หัวแร้งปืน 220 V 20/130 w,Electric Soldering Irons,
ค่าตรวจสุขภาพพนักงาน นางสาว สุภาพร ฮังกาสี,Employee Physical Screening Service,
CM25005984 knob,Cookware Parts,
"1000070100;6800;EE,DUPLEX,2P+G,16A,250V,NORMAL,PANASONIC;;",Circuit Breakers,
NC-QL1805NA APPROXIMATE SWITCH,Other Switches,
Proofer steammer Lamp LED Tri-Proof Set 9 W.(CM25004154),Fresh Lights,
ค่าเข้างานนอกเวลางาน,Security And Personal Safety,
1000070520;7600;IMC-Black&White Copy;;,Master Rolls,
พาวเวอร์แบงค์พร้อมขาตั้ง Ulanzi BG-4,Mobile Phone Repair Tools & Equipments,
จานด้ายขนาด 4 หลอด|อะไหล่จักรแท่นเย็บกระสอบ,Home Textile Product Machine Parts,
โคมไฟผนังโซล่าเซลล์ Sensor LED 10W DL RA,Smart Outdoor Lights,
"SP25002886:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409397 Y2024 หัวฉีดน้ำล้างแอร์ ""GENERAL"" 1 ชิ้น",Nozzles,
ที่เปิดไวน์มีเกลียวด้าม,Bar Sets,
"SP25002638:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409293 Y2024 สายพานB-72 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
"etup TempSite True Shop Lotuss
 Noth Pattaya วันที่18-19/8/2568",Contracts,item -
ขาปรับ,Furniture Legs,
เมาส์&แผ่นรอง LINE PINK MY HOME,Mouse Pads,
"SP25005817:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409303 Y2024 สายพานB-86 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
กระจกมองข้างโฟล์คลิฟท์,Car Mirrors,
สัญญาบริการซ่อมบำรุงเครื่องนับเหรียญ เดือน ต.ค.-ธ.ค. 2567,Coin Counters & Sorters,
ค่าบริการบำรุงรักษาเครื่องนับธนบัตรและเครื่องนับเหรียญ ประจำงวดท1/4(ม.ค.-มี.ค.68),Coin Counters & Sorters,
สัญญาบริการซ่อมบำรุงรักษาเครื่องนับธนาบัตร(เเบบรวมอะไหล่) ประจำงวด 1/4 (ม.ค-มี.ค. 2568),Electronic Controls Installation Service,item 
"SP25002428:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1408602 Y2024 OMRON"" SMOKEDETACTOR  # 2151 (4 WIRE) ""OMRON"" 1 ชิ้น",Other Motor Accessories,
"SP25002789:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1408602 Y2024 OMRON"" SMOKEDETACTOR  # 2151 (4 WIRE) ""OMRON"" 1 ชิ้น",Other Motor Accessories,
"CM25284858:อุปกรณ์อื่นๆ (Other):สต็อกอะไหล่เครื่องมือขาด:1408602 Y2024 OMRON"" SMOKEDETACTOR  # 2151 (4 WIRE) ""OMRON"" 1 ชิ้น",Other Welding & Soldering Supplies,
